baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB0348,Antidiuresis,renal collecting-duct vasopressin water-reabsorption structure,urine output reduced by increased water retention relative to the reference fluid-balance state,established_478,6212173108f74847102ca442fcf5d9ea18bacf2e271e48de0e2b9dd0bf32cc7e,15,13,0,2,15,2,0.17642730980684762,0.18394716451398785,0.007519854707140228,0.007519854707140228,AWAY_FROM_REFERENCE,0.13333333333333333,MINOR,1,231,,,6b91600783b6c91185cbbb4724d0aa7507e5e7fa66e4ce63eb9aed6cab1b964d,0.3493055017808554,0.27506768509860413,0.6875,-2,True,1
SB2347,HCV coinfection,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by hcv coinfection",remaining_5256,6b2317f2bf8683ca8f9cfe8c5be4a46e10a450c60fffcc1926a9a6d0ed623459,15,9,2,0,7,2,0.189780525200812,0.20178549458650663,0.01200496938569462,0.01200496938569462,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,9630af22d66499e2be2caab5735c31f18560ecf0ac3949ad9206a8042f333267,0.3457793423188919,0.2724824296571853,0.6796875,2,True,2
SB5492,VT,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by vt",remaining_5256,4609356e007b2af179aa404ef4dc5c0aa4db59abdf74e028a4331ad7c5544243,21,6,1,0,5,1,0.15100204729724598,0.1632209513545071,0.012218904057261115,0.012218904057261115,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,39127de4d1e62e0c20557b59de8d8fd8b7aee09a5801dcdb38836abe07f09853,0.3457444327134464,0.27415479599200787,0.671875,1,True,3
SB4488,QRS complex,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by qrs complex",remaining_5256,59c7d51fb813157dbd76263f48312d79c7d830fc2077e99a306ee838835fdf1c,21,6,1,0,5,1,0.15148360021134188,0.16294778011503208,0.011464179903690197,0.011464179903690197,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,c93c1af518fe2c7c563b75b2276689aba74995f9147ba4099b2ae1ad16fc9123,0.3456141752884583,0.27399594547372963,0.671875,1,True,4
SB1602,Dropped beats,cardiac conduction and myocardial rhythm structure,intermittent failure or pause of expected cardiac depolarization/conduction cycles,remaining_5256,463d94e08d2bef4f494b721f5f5a343eaa3a45cb9e3356aa639acc9e3a6f7435,21,7,1,0,6,1,0.171088169046401,0.18628469314705898,0.015196524100657971,0.015196524100657971,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,d444401050f52480c9040d7befc725057468ce60602c18fd0f66d473787e7621,0.3439946690887877,0.27716575498632645,0.6484375,1,True,5
SB1702,Ear feels clogged,cochlear-mechanical and auditory-neural transduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by ear feels clogged",remaining_5256,8b8b7371170a9e4b2c5c42675f0f54fd8075e39b00fff2fe855668b836c4a9db,276,78,10,9,77,19,0.14523810278802107,0.15259247446723923,0.007354371679218152,0.007354371679218152,AWAY_FROM_REFERENCE,0.03260869565217391,MINOR,1,230,,,cb31a7415954f8ded0589d1e1853046c8c429c096c1f8ed4428e341971b2e5c3,0.3424430796917316,0.26841381669723363,0.6796875,1,True,6
SB5133,Syphilis,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by syphilis",remaining_5256,29cb6f46f39b8e76042da48fa4443cf2566b3f4a4cdb68e6e88db1cddda17a90,15,9,1,0,8,1,0.19335173186580445,0.2013749735179089,0.00802324165210444,0.00802324165210444,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,b4a9f96dcd8dc45a84e1e1bb0396c179c7200cbc2209ef725e43b7e79f6cb38f,0.34186210255822475,0.2711351860466156,0.6640625,1,True,7
SB1726,Eczema eyelids,"cutaneous epidermal-dermal barrier, appendage, vascular, and immune structure","altered configuration or regulated output of the named structure, expressed as the state described by eczema eyelids",remaining_5256,ea8fc5c96efa0d5c5869f9b34e4a338c61a351cfef298f3f042ceb08dfa0badb,300,122,11,12,123,23,0.165179192705323,0.17346275934648858,0.008283566641165585,0.008283566641165585,AWAY_FROM_REFERENCE,0.04,MINOR,1,231,,,996b13d8d642b95f88bfa4024047c2165cccfb2691594e95e57b97c4a36232bd,0.3414964548843659,0.265544457176056,0.6875,-1,True,8
SB1657,Dysautonomia,sympathetic-parasympathetic autonomic-control network,"altered configuration or regulated output of the named structure, expressed as the state described by dysautonomia",remaining_5256,6cb7592d0f0f7d73b643ad03f4b45352cda19a0736a9b34493954077263d14f7,78,37,8,1,30,9,0.15918385607545782,0.17011236688582243,0.010928510810364611,0.010928510810364611,AWAY_FROM_REFERENCE,0.01282051282051282,MINOR,1,223,,,5f0991b98bf4ef6025f1d6edc3d3aa3ce5e1d662008f92bb314fae29ffd0d082,0.3408390216567003,0.26817258738621996,0.671875,7,True,9
SB1426,Deafness,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,14,71,22,0.1661039219648559,0.17556795227385802,0.009464030309002114,0.009464030309002114,AWAY_FROM_REFERENCE,0.050724637681159424,MINOR,1,230,,,b431d4014d194bc4200bec2c9e23c56c1503e7399169825293f7329ba95de987,0.34074681757196684,0.26806014338044737,0.671875,-6,True,10
