baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB2222,Gastrooesophageal reflux disease,"oesophageal mucosal, peristaltic, and sphincter-control structure",retrograde transit across a normally directional junction or valve,remaining_5256,8091c0def5c9972431bb874819d723650fa7ec9c3b41e0e16072dbcfbc06b591,28,7,3,1,5,4,0.14878272005505488,0.158321194787858,0.009538474732803115,0.009538474732803115,AWAY_FROM_REFERENCE,0.03571428571428571,MINOR,1,231,,,a7009741e9f5636a5e61336388834c92210d7b967ab11fedfa6eee849999bd9c,0.3236621797289093,0.255799914303548,0.6328125,2,True,1
SB3752,Oesophageal reflux aggravated,"oesophageal mucosal, peristaltic, and sphincter-control structure",retrograde transit across a normally directional junction or valve,remaining_5256,8091c0def5c9972431bb874819d723650fa7ec9c3b41e0e16072dbcfbc06b591,28,7,3,1,5,4,0.14878272005505488,0.158321194787858,0.009538474732803115,0.009538474732803115,AWAY_FROM_REFERENCE,0.03571428571428571,MINOR,1,231,,,db94d7121ae45b285a98aab789b4b4bebf484970f468f49215c2513b39654e36,0.3236621797289093,0.255799914303548,0.6328125,2,True,2
SB4565,Reflux esophagitis,"oesophageal mucosal, peristaltic, and sphincter-control structure",retrograde transit across a normally directional junction or valve,remaining_5256,8091c0def5c9972431bb874819d723650fa7ec9c3b41e0e16072dbcfbc06b591,28,7,3,1,5,4,0.14878272005505488,0.158321194787858,0.009538474732803115,0.009538474732803115,AWAY_FROM_REFERENCE,0.03571428571428571,MINOR,1,231,,,d23a39f646d59388b5a58108e05bca41c00bd095078d3890cd9018470f11497c,0.3236621797289093,0.255799914303548,0.6328125,2,True,3
SB4566,Reflux gastritis,"oesophageal mucosal, peristaltic, and sphincter-control structure",retrograde transit across a normally directional junction or valve,remaining_5256,8091c0def5c9972431bb874819d723650fa7ec9c3b41e0e16072dbcfbc06b591,28,7,3,1,5,4,0.14878272005505488,0.158321194787858,0.009538474732803115,0.009538474732803115,AWAY_FROM_REFERENCE,0.03571428571428571,MINOR,1,231,,,8dae30988e03629232f3759bf827b839286498a856811629ec7ada9ffa1529cd,0.3236621797289093,0.255799914303548,0.6328125,2,True,4
SB0372,Aortic valve incompetence,aortic-valve leaflet coaptation and flow-closure structure,failure of valve closure producing abnormal retrograde flow,established_478,95df40eda08e33f0ac4c9a49d328fc587e8b8c0220b2ca8629ac2a7db9bfd9b4,2278,882,101,65,846,166,0.22906647280899362,0.23306381981832147,0.003997347009327856,0.003997347009327856,AWAY_FROM_REFERENCE,0.028533801580333626,MINOR,1,174,,,5842ca45e336677a706f081101b2b721a8df99bd861702e1c0084abdd8506c94,0.32352937384441016,0.2453483217614758,0.6796875,36,True,5
SB5492,VT,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by vt",remaining_5256,4609356e007b2af179aa404ef4dc5c0aa4db59abdf74e028a4331ad7c5544243,21,6,1,0,5,1,0.15100204729724598,0.1601307962704719,0.009128748973225909,0.009128748973225909,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,7b663c9251ba960979669a8fbabd0ecb2b023c9815d62b8388e7f64e85db4986,0.3212921073506683,0.24776476506179068,0.65625,1,True,6
SB1602,Dropped beats,cardiac conduction and myocardial rhythm structure,intermittent failure or pause of expected cardiac depolarization/conduction cycles,remaining_5256,463d94e08d2bef4f494b721f5f5a343eaa3a45cb9e3356aa639acc9e3a6f7435,21,7,1,0,6,1,0.171088169046401,0.18310353844814176,0.01201536940174075,0.01201536940174075,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,87a9bdb43b77d3708c5b93a5e386be05daaefcc4e989912c3e816310e7db6eeb,0.3205762092035788,0.25203653561412054,0.6328125,1,True,7
SB1726,Eczema eyelids,"cutaneous epidermal-dermal barrier, appendage, vascular, and immune structure","altered configuration or regulated output of the named structure, expressed as the state described by eczema eyelids",remaining_5256,ea8fc5c96efa0d5c5869f9b34e4a338c61a351cfef298f3f042ceb08dfa0badb,300,122,11,11,122,22,0.165179192705323,0.1698562219321622,0.004677029226839213,0.004677029226839213,AWAY_FROM_REFERENCE,0.03666666666666667,MINOR,1,231,,,9a978315419a689f30f04caf295836979c650f8272f64c9547c015e09e9ee6e2,0.3199927263188188,0.24275027599855958,0.671875,0,True,8
SB1060,Cervical smear test positive,cochlear-mechanical and auditory-neural transduction structure,detectable presence of the measured target where the reference state is absent or lower,remaining_5256,e6c45b5a0416e1f3ba6cafdc593c8bc482d64336b345def4732788a15915b16d,276,84,13,6,77,19,0.14938380324949752,0.15309402950513862,0.0037102262556411025,0.0037102262556411025,AWAY_FROM_REFERENCE,0.021739130434782608,MINOR,1,230,,,24b0b2feac9373478b69f0f61c02aaf70e36b8487e800192ea03ba0ceeae294b,0.31908195405545237,0.2433545171407956,0.6640625,7,True,9
SB0536,Autoimmune thrombocytopenia,"platelet production, activation, adhesion, and aggregation structure",immune recognition directed against self-associated structures with sustained effector perturbation,remaining_5256,19aab52695c44ea385b2e27ae996d8f01206c2cedfca33bf814d7c49c6d0f529,15,3,0,1,4,1,0.12778094491380843,0.1347813841414276,0.007000439227619171,0.007000439227619171,AWAY_FROM_REFERENCE,0.06666666666666667,MINOR,1,230,,,ab1f81ba11ae90522278dd88487de8b439ff46fa33982ddaec3d00217b50aabf,0.3185375473836861,0.24440554558986116,0.65625,-1,True,10
