baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits,condition_top_entry_index,response_top_entry_index
SB0379,dominant-hemisphere cortical language-processing structure,"loss or impairment of language comprehension, formulation, or symbolic communication",Aphasia,established_478,91c72d1a3c33607aaaec349e117f2fb50d4e713e1f19adf3de7d385216e006a0,3,0,0,1,1,1,0.19333569954598984,0.20728615225165425,0.013950452705664418,0.013950452705664418,AWAY_FROM_REFERENCE,0.3333333333333333,MODERATE,2,231,558d39a997f4f18ca28b9a77182e81e9bc6b123bdbf273e77b7ab9b94e2823b2,0.3057047393380301,0.2493350479732075,0.5625,True,-1,550,,
SB1656,dominant-hemisphere language-processing and speech-planning network,impaired motor execution of speech articulation despite preserved language formulation,Dysarthria,remaining_5256,3847ff830170f0564c8db45f8a61e5afa4ae8a3bab72cea8369bfb8f171356cd,231,104,6,9,107,15,0.16978720511102607,0.18523115491698428,0.015443949805958201,0.015443949805958201,AWAY_FROM_REFERENCE,0.03896103896103896,MINOR,1,230,3d5c62e99078a786dee22b705714a417033170e81e1a382a08f97991153ba14a,0.2962150269420514,0.2188978987098188,0.6484375,True,-3,951,,
SB1666,dominant-hemisphere language-processing and speech-planning network,impaired generation of written symbolic output,Dysgraphia,remaining_5256,99b61db23ef996e476217f9f6240b0c1646ed7902a78bf25c5261e8bc412c067,231,113,8,9,114,17,0.2181717192988044,0.23530684339539176,0.01713512409658735,0.01713512409658735,AWAY_FROM_REFERENCE,0.03896103896103896,MINOR,1,230,f2631d5270550b8aa414615cdfdf9c52521829f1f3e1a01652a0f6e9ced73ef7,0.31440161924751586,0.24107666981404374,0.6484375,True,-1,273,,
SB1669,dominant-hemisphere language-processing and speech-planning network,impaired mapping of written symbols to language representations,Dyslexia,remaining_5256,0fe9c2ee005b9b64f3853513f73929dede19c3011686bcede380c68bd7149d05,231,129,5,7,131,12,0.23362204630323458,0.24925661372303387,0.015634567419799295,0.015634567419799295,AWAY_FROM_REFERENCE,0.030303030303030304,MINOR,1,230,79c8d3b6fe412a824afc0456f4893be33fdfb7ed652c3feb33049beb4fa3d953,0.3077412220975234,0.23809905133844322,0.625,True,-2,487,,
SB1679,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by dysphasia",Dysphasia,remaining_5256,dee56dd4e0bae9bed9c3913831490c26b80969af98a40a4b7053d42f78975fcc,231,92,3,11,100,14,0.15805728467861213,0.1793488800583357,0.021291595379723582,0.021291595379723582,AWAY_FROM_REFERENCE,0.047619047619047616,MINOR,1,230,eff7ec5624b2d230ca061460d04246d6e84f5b194af81abdef755cf5348d57c8,0.3087059957127204,0.247850299649659,0.5859375,True,-8,445,230,230
SB1929,dominant-hemisphere language-processing and speech-planning network,departure from the reference structural configuration or regulated functional range,Expressive language disorder,remaining_5256,b111aac0ad4ad79e76d5d9e93b63c5694123c35b29424e21ec6dc96fa0cb05b0,231,106,5,9,110,14,0.1795845592145957,0.20192111788250744,0.022336558667911732,0.022336558667911732,AWAY_FROM_REFERENCE,0.03896103896103896,MINOR,1,230,22fa8baa886f677d78826739e63aea77d5eff42ea0592aafe215e3faa6ce1278,0.3190552024469124,0.2450368322523322,0.65625,True,-4,178,230,230
SB3035,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by lack of spontaneous speech",Lack of spontaneous speech,remaining_5256,3b255f4dd481299bd4aa1a4d7562cf76d128231c77a64824f47666545091a5d0,231,87,2,11,96,13,0.15024886482652056,0.16967181207892523,0.019422947252404676,0.019422947252404676,AWAY_FROM_REFERENCE,0.047619047619047616,MINOR,1,230,61e597c843d2166b8f5025a7166cb96cb7dbb999218e3c8fd3e46610e0ee6c61,0.3129657672251137,0.24618538685989477,0.6171875,True,-9,303,,
SB3473,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by mutism",Mutism,remaining_5256,a8077661e3016703cecb6158c638c48e5847d7686077f43f609018cb2e141226,231,88,2,11,97,13,0.15740077768265603,0.1774131073977122,0.020012329715056176,0.020012329715056176,AWAY_FROM_REFERENCE,0.047619047619047616,MINOR,1,230,62ddc9d23b7d2466964b292583e333410947f43a80af3935179dd1e7bb866ad7,0.3011441167623662,0.23862849605166614,0.5859375,True,-9,692,230,230
SB4329,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by pressure of speech",Pressure of speech,remaining_5256,82d4aac500825f6f07a893e0fb1dd928a440a6da3d643428cffbc9be66939513,231,84,1,15,98,16,0.16147287749336448,0.18157696242737476,0.02010408493401028,0.02010408493401028,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,1b95ad997f7a65b4bc7ee3ba5ef5bdb2ae1e84504779f4ee9db5e4d59a73c5cc,0.301130907051784,0.24204226469729762,0.5703125,True,-14,693,230,230
SB4609,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by repetitive speech",Repetitive speech,remaining_5256,06b2e513a2fb743d3515d025b4ec975e28b37364670086cc933ec819c5b77496,231,88,3,9,94,12,0.1505214271372033,0.1702677309127436,0.01974630377554032,0.01974630377554032,AWAY_FROM_REFERENCE,0.03896103896103896,MINOR,1,230,2657887bddfee979f1480fd33a4b50e8ead212008dbe4b534f3c254c5533ebb6,0.3040498942832589,0.24217212717470604,0.5859375,True,-6,591,230,230
