baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits,condition_top_entry_index,response_top_entry_index
SB0379,dominant-hemisphere cortical language-processing structure,"loss or impairment of language comprehension, formulation, or symbolic communication",Aphasia,established_478,91c72d1a3c33607aaaec349e117f2fb50d4e713e1f19adf3de7d385216e006a0,3,0,0,1,1,1,0.19333569954598984,0.210579693284078,0.01724399373808816,0.01724399373808816,AWAY_FROM_REFERENCE,0.3333333333333333,MODERATE,2,231,6ac7bebb86bf0bf65ee60d29579f246aa9994cf180448735b3030fcbe21dced3,0.30823250474035824,0.25241768870775394,0.5625,True,-1,727,,
SB1656,dominant-hemisphere language-processing and speech-planning network,impaired motor execution of speech articulation despite preserved language formulation,Dysarthria,remaining_5256,3847ff830170f0564c8db45f8a61e5afa4ae8a3bab72cea8369bfb8f171356cd,231,104,6,12,110,18,0.16978720511102607,0.1918469072251754,0.022059702114149315,0.022059702114149315,AWAY_FROM_REFERENCE,0.05194805194805195,MINOR,1,230,d27210ec46fdaa17679f60d7cf1a52fca38d8e1567c06423e3bde7f519741875,0.3042728603808727,0.22872452485472283,0.6484375,True,-6,850,,
SB1666,dominant-hemisphere language-processing and speech-planning network,impaired generation of written symbolic output,Dysgraphia,remaining_5256,99b61db23ef996e476217f9f6240b0c1646ed7902a78bf25c5261e8bc412c067,231,113,7,10,116,17,0.2181717192988044,0.24039798362537623,0.02222626432657182,0.02222626432657182,AWAY_FROM_REFERENCE,0.04329004329004329,MINOR,1,230,812914f0b74574591e73e4abfdb09af3b1692259d5def7fdec2646198529ff46,0.3228039836977868,0.25132345572900827,0.6484375,True,-3,221,,
SB1669,dominant-hemisphere language-processing and speech-planning network,impaired mapping of written symbols to language representations,Dyslexia,remaining_5256,0fe9c2ee005b9b64f3853513f73929dede19c3011686bcede380c68bd7149d05,231,129,5,9,133,14,0.23362204630323458,0.2541857310747836,0.020563684771549018,0.020563684771549018,AWAY_FROM_REFERENCE,0.03896103896103896,MINOR,1,230,72f2e6b83e62478170385e41e545a78607c9019ef36ba7aec3c41fc47f28aa7f,0.31430982734560853,0.246109545543425,0.625,True,-4,443,,
SB1679,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by dysphasia",Dysphasia,remaining_5256,dee56dd4e0bae9bed9c3913831490c26b80969af98a40a4b7053d42f78975fcc,231,92,3,12,101,15,0.15805728467861213,0.1865504007239287,0.02849311604531657,0.02849311604531657,AWAY_FROM_REFERENCE,0.05194805194805195,MINOR,1,230,8ca751b7ba3911cd6908701558fb1ae74e4fe3a96f949814fd681da1dacb2533,0.3183376008233326,0.2595961595406495,0.5859375,True,-9,314,230,230
SB1929,dominant-hemisphere language-processing and speech-planning network,departure from the reference structural configuration or regulated functional range,Expressive language disorder,remaining_5256,b111aac0ad4ad79e76d5d9e93b63c5694123c35b29424e21ec6dc96fa0cb05b0,231,106,5,12,113,17,0.1795845592145957,0.20885084727945613,0.029266288064860424,0.029266288064860424,AWAY_FROM_REFERENCE,0.05194805194805195,MINOR,1,230,95dee6e3cb35a1a243c6e981103dccc430ce03a3bbfc1375d34977a76e84f243,0.3268835833106602,0.254583638183732,0.65625,True,-7,148,230,174
SB3035,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by lack of spontaneous speech",Lack of spontaneous speech,remaining_5256,3b255f4dd481299bd4aa1a4d7562cf76d128231c77a64824f47666545091a5d0,231,87,2,11,96,13,0.15024886482652056,0.17588693900663233,0.02563807418011177,0.02563807418011177,AWAY_FROM_REFERENCE,0.047619047619047616,MINOR,1,230,2fd15d49a2d7bc51b424dc31df22e13c472684fdad0ff25d8ef8ee7e3878967c,0.31972391271495654,0.25442702770116654,0.6171875,True,-9,276,,
SB3473,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by mutism",Mutism,remaining_5256,a8077661e3016703cecb6158c638c48e5847d7686077f43f609018cb2e141226,231,88,2,12,98,14,0.15740077768265603,0.18413567864386016,0.026734900961204122,0.026734900961204122,AWAY_FROM_REFERENCE,0.05194805194805195,MINOR,1,230,4ba5083ced3a80f052c18001cd1b78ff7fe5add4ea36f21bc8af4bcc01356c77,0.3102163978300301,0.24969225345125623,0.5859375,True,-10,669,230,230
SB4329,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by pressure of speech",Pressure of speech,remaining_5256,82d4aac500825f6f07a893e0fb1dd928a440a6da3d643428cffbc9be66939513,231,84,1,16,99,17,0.16147287749336448,0.18840548532861257,0.02693260783524809,0.02693260783524809,AWAY_FROM_REFERENCE,0.06926406926406926,MINOR,1,230,428f395f4604c1537b263c1161fac76bcf21e44ea722aeee3b02f9ade66b8aac,0.3109814198374492,0.254055085167621,0.5703125,True,-15,659,230,230
SB4609,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by repetitive speech",Repetitive speech,remaining_5256,06b2e513a2fb743d3515d025b4ec975e28b37364670086cc933ec819c5b77496,231,88,3,11,96,14,0.1505214271372033,0.17662597377342115,0.026104546636217862,0.026104546636217862,AWAY_FROM_REFERENCE,0.047619047619047616,MINOR,1,230,c8c0f389ae6cf68f44da9988e99861297bf8594e9b5608310086944a2e5bbfb0,0.3117475796334294,0.2515595483334505,0.5859375,True,-8,622,,
