baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits,condition_top_entry_index,response_top_entry_index
SB0379,dominant-hemisphere cortical language-processing structure,"loss or impairment of language comprehension, formulation, or symbolic communication",Aphasia,established_478,91c72d1a3c33607aaaec349e117f2fb50d4e713e1f19adf3de7d385216e006a0,3,0,0,1,1,1,0.19333569954598984,0.21779012451577184,0.024454424969782007,0.024454424969782007,AWAY_FROM_REFERENCE,0.3333333333333333,MODERATE,2,231,a49ccf8e00423659913b74f6f26d8b5add0a25d6153f42fb1b4822fa335af66b,0.3014866008479206,0.24419097664380562,0.5625,True,-1,833,,
SB1656,dominant-hemisphere language-processing and speech-planning network,impaired motor execution of speech articulation despite preserved language formulation,Dysarthria,remaining_5256,3847ff830170f0564c8db45f8a61e5afa4ae8a3bab72cea8369bfb8f171356cd,231,104,6,15,113,21,0.16978720511102607,0.20225985340487007,0.032472648293844,0.032472648293844,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,9dac1b94746f6278479ee2ae159d67373e2154d042fca147d0d0a3c349e4540c,0.30165824739320624,0.2255359724307393,0.6484375,True,-9,831,,
SB1666,dominant-hemisphere language-processing and speech-planning network,impaired generation of written symbolic output,Dysgraphia,remaining_5256,99b61db23ef996e476217f9f6240b0c1646ed7902a78bf25c5261e8bc412c067,231,113,7,11,117,18,0.2181717192988044,0.2501479708208767,0.031976251522072285,0.031976251522072285,AWAY_FROM_REFERENCE,0.047619047619047616,MINOR,1,230,4281f629d8e1d0f9a61c6445de5d7124250015620a5fada451887bd79b56b1db,0.32007190323473567,0.24799165028626302,0.6484375,True,-4,204,,
SB1669,dominant-hemisphere language-processing and speech-planning network,impaired mapping of written symbols to language representations,Dyslexia,remaining_5256,0fe9c2ee005b9b64f3853513f73929dede19c3011686bcede380c68bd7149d05,231,129,5,10,134,15,0.23362204630323458,0.26396816496222875,0.03034611865899417,0.03034611865899417,AWAY_FROM_REFERENCE,0.04329004329004329,MINOR,1,230,9dfc57efe8765aa63f970dc4b0fc2313b2aeadaad2cbd2a6993c2f5c23229eaa,0.3104735636583793,0.2414311751931455,0.625,True,-5,541,,
SB1679,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by dysphasia",Dysphasia,remaining_5256,dee56dd4e0bae9bed9c3913831490c26b80969af98a40a4b7053d42f78975fcc,231,92,3,15,104,18,0.15805728467861213,0.19712088619382395,0.03906360151521182,0.03906360151521182,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,0d31ebd49b5bde850e27b703b3d20e021e7b066caee703effa46f7890899e487,0.31585197232162987,0.2565649052702803,0.5859375,True,-12,273,230,230
SB1929,dominant-hemisphere language-processing and speech-planning network,departure from the reference structural configuration or regulated functional range,Expressive language disorder,remaining_5256,b111aac0ad4ad79e76d5d9e93b63c5694123c35b29424e21ec6dc96fa0cb05b0,231,106,5,18,119,23,0.1795845592145957,0.21967076326813995,0.04008620405354424,0.04008620405354424,AWAY_FROM_REFERENCE,0.07792207792207792,MINOR,1,230,c621117b11ab079d72101213e668bc75c63fe05f789566569fcd42a1478461d1,0.32303926331262084,0.24989544306417177,0.65625,True,-13,131,230,174
SB3035,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by lack of spontaneous speech",Lack of spontaneous speech,remaining_5256,3b255f4dd481299bd4aa1a4d7562cf76d128231c77a64824f47666545091a5d0,231,87,2,14,99,16,0.15024886482652056,0.18547621973668393,0.03522735491016338,0.03522735491016338,AWAY_FROM_REFERENCE,0.06060606060606061,MINOR,1,230,9d9a2f22ad6953bbac91c3fdfc996e17a25f05c34d969eb646d3c27e1bcf5d3f,0.31565013885015547,0.24945901079287258,0.6171875,True,-12,282,,
SB3473,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by mutism",Mutism,remaining_5256,a8077661e3016703cecb6158c638c48e5847d7686077f43f609018cb2e141226,231,88,2,14,100,16,0.15740077768265603,0.19428539159429548,0.03688461391163944,0.03688461391163944,AWAY_FROM_REFERENCE,0.06060606060606061,MINOR,1,230,67b0277c11f9014e727347c99abc752dd883b0d09fe0727b1bc426b6479ad886,0.30773723487564686,0.24666888399469133,0.5859375,True,-12,612,,
SB4329,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by pressure of speech",Pressure of speech,remaining_5256,82d4aac500825f6f07a893e0fb1dd928a440a6da3d643428cffbc9be66939513,231,84,1,17,100,18,0.16147287749336448,0.19876370311009783,0.03729082561673336,0.03729082561673336,AWAY_FROM_REFERENCE,0.0735930735930736,MINOR,1,230,cb9843a48c6e1c60f51d3310a6ae34ad4bf0ecfec74336b66f5c47b156e57539,0.3089179501376813,0.25153865870448944,0.5703125,True,-16,584,,
SB4609,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by repetitive speech",Repetitive speech,remaining_5256,06b2e513a2fb743d3515d025b4ec975e28b37364670086cc933ec819c5b77496,231,88,3,13,98,16,0.1505214271372033,0.1863370312390431,0.035815604101839815,0.035815604101839815,AWAY_FROM_REFERENCE,0.05627705627705628,MINOR,1,230,1bdf39cc83bd11eabf7d1bf38fc8084cf7e6664e614385bd437535142b64c787,0.30832028274550083,0.24737991798231806,0.5859375,True,-10,599,,
SB4932,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by slow speech",Slow speech,remaining_5256,aad4c751ff0d93b0b27412098dc86f17ed0f5d5669a858b6ab5c1462bac2f3c5,231,88,3,14,99,17,0.15348978879374264,0.18822670587514334,0.0347369170814007,0.0347369170814007,AWAY_FROM_REFERENCE,0.06060606060606061,MINOR,1,230,282d7c724ceb617a16be81f449eed79777ec21e1f6a17c1423a905e7d87e2fd6,0.30690058513167284,0.24736351845325955,0.578125,True,-11,651,,
SB4934,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by slurred speech",Slurred speech,remaining_5256,b4ab212a756039d74a9f27de08d846915aa48407434f791306321d05ebcc251a,231,88,3,13,98,16,0.15339235712854338,0.19020753531485213,0.03681517818630875,0.03681517818630875,AWAY_FROM_REFERENCE,0.05627705627705628,MINOR,1,230,7659eed42fc6ce6d53fc36029c7b447f82cdb53e8a57f2e98908404665ba22dc,0.31151033041975457,0.25127022002409094,0.5859375,True,-10,420,,
SB4968,dominant-hemisphere language-processing and speech-planning network,departure from the reference structural configuration or regulated functional range,Speech disorder,remaining_5256,b111aac0ad4ad79e76d5d9e93b63c5694123c35b29424e21ec6dc96fa0cb05b0,231,106,5,18,119,23,0.1795845592145957,0.21967076326813995,0.04008620405354424,0.04008620405354424,AWAY_FROM_REFERENCE,0.07792207792207792,MINOR,1,230,5aa3aced699fedf736bf88fa367b74d998148c47894892ca1980d53bc649a044,0.32303926331262084,0.24989544306417177,0.65625,True,-13,132,230,174
SB4969,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by speech impairment",Speech impairment NOS,remaining_5256,1be45946065d54c9b9d1ebca0d5586677e86df56434cdca25b1453d8bb95c8d8,231,88,4,15,99,19,0.15523938699575002,0.1925644058808993,0.037325018885149275,0.037325018885149275,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,f388f76ea5d187b9fd2746f5995b4e3e27f38b63d2ee2abe1dbbce8446368d7a,0.3095385297176123,0.2505805240458687,0.578125,True,-11,566,,
SB4970,dominant-hemisphere language-processing and speech-planning network,loss or absence of the named structural component or regulated function,Speech loss,remaining_5256,e93b2286d97ca741029f30e6c8ba1c511fa7ecc92dbc7ef5430e9b929cd5936d,231,97,5,9,101,14,0.19852064933694658,0.2408060113242212,0.04228536198727462,0.04228536198727462,AWAY_FROM_REFERENCE,0.03896103896103896,MINOR,1,230,f1fbd510410f948a76f8283b6d5d0837b23e2efe9447105c759f7d8f44c15b36,0.31380835487751113,0.2506428108262331,0.6015625,True,-4,318,230,230
SB5058,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by stuttering",Stuttering,remaining_5256,a7dedde5a36ea592dc01f66191e2fa5106aeabb3024372934931dbbb19b9fbb2,231,92,3,14,103,17,0.16147381518143966,0.20026990060284722,0.038796085421407556,0.038796085421407556,AWAY_FROM_REFERENCE,0.06060606060606061,MINOR,1,230,c35a441a6511744ae716e14154bf249d1dff6f4983ccb8d4d8765dd2758b980d,0.3158966071671928,0.2531894599599912,0.6015625,True,-11,272,230,230
SB5705,dominant-hemisphere language-processing and speech-planning network,reduced ability of the named structure/process to complete its normal regulated operation,Word finding difficulty,remaining_5256,dff2db997592b331fc38811c4fd834200cace3d8267feb359e836cd44d185bd0,231,106,6,15,115,21,0.18877534489724834,0.23542487505268905,0.04664953015544071,0.04664953015544071,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,ceecd4b92ebd5185c505b5031416bdca2eb6dcc4aa3eb238b26049e543d9f30b,0.33600375385926695,0.26570579738934996,0.65625,True,-9,28,230,230
