baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits
SB0348,renal collecting-duct vasopressin water-reabsorption structure,urine output reduced by increased water retention relative to the reference fluid-balance state,Antidiuresis,established_478,6212173108f74847102ca442fcf5d9ea18bacf2e271e48de0e2b9dd0bf32cc7e,15,13,0,2,15,2,0.17642730980684762,0.19657829142422678,0.02015098161737916,0.02015098161737916,AWAY_FROM_REFERENCE,0.13333333333333333,MINOR,1,231,8798b2c72a6f04716dd25f36316914fa18e434e11f1a1960af0ea75ad7ea8447,0.351650972312317,0.27792801501502074,0.6875,True,-2,1
SB2347,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by hcv coinfection",HCV coinfection,remaining_5256,6b2317f2bf8683ca8f9cfe8c5be4a46e10a450c60fffcc1926a9a6d0ed623459,15,9,2,0,7,2,0.189780525200812,0.21357484488773304,0.02379431968692103,0.02379431968692103,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,bb1d7c469fd404b42bf28584dd047ea2e4cf9e6f96216d7ffe4bec7f3dab6ef0,0.34493614671550965,0.2714541423359874,0.6796875,True,2,2
SB4488,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by qrs complex",QRS complex,remaining_5256,59c7d51fb813157dbd76263f48312d79c7d830fc2077e99a306ee838835fdf1c,21,6,1,0,5,1,0.15148360021134188,0.17464718547388136,0.023163585262539477,0.023163585262539477,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,fbf4a31ce9496b955bba784e38639651cb33c2b4487a060668dd2763ef7658b8,0.3440107930150527,0.2720406012378692,0.671875,True,1,3
SB5492,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by vt",VT,remaining_5256,4609356e007b2af179aa404ef4dc5c0aa4db59abdf74e028a4331ad7c5544243,21,6,1,0,5,1,0.15100204729724598,0.17503089897670043,0.024028851679454455,0.024028851679454455,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,c50d4beb11988f13abcaba4f4c06b2a478dcae4a3bd78285fb3af8a7f3ab74f4,0.34220025068696347,0.2698326227889799,0.671875,True,1,4
SB5133,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by syphilis",Syphilis,remaining_5256,29cb6f46f39b8e76042da48fa4443cf2566b3f4a4cdb68e6e88db1cddda17a90,15,9,1,0,8,1,0.19335173186580445,0.21221904801295022,0.018867316147145763,0.018867316147145763,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,fa1951ec81b531ee255664c7eea9f31d898c332aecc625b52c26b1c4b21edcfd,0.34095903751540085,0.27003388721390353,0.6640625,True,1,5
SB5291,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by torsade de pointes",Torsade de pointes,remaining_5256,3192e1070511a49041ad8a3754f358163e3cf6060270b583fa74a80a4de403eb,21,6,1,0,5,1,0.1567695278865724,0.1815971635857141,0.024827635699141704,0.024827635699141704,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,f674612d4284221e35e30e2532c051129b77a588f2b304c6464c3c4343cf4d9d,0.3402454148986735,0.27087855475447986,0.65625,True,1,6
SB2814,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by influenza like illness",Influenza like illness,remaining_5256,428abea7b415f79b641ec0606619f2ed387ed02aeddefde737fad978111ebeab,15,9,2,0,7,2,0.18413271972825185,0.2046105981189449,0.02047787839069304,0.02047787839069304,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,47093bbb375fa71d36488a43d6bfecd9913eda63b022c628e38a5ca6be1ccb5a,0.3396230977028574,0.2701196313449481,0.65625,True,2,7
SB1602,cardiac conduction and myocardial rhythm structure,intermittent failure or pause of expected cardiac depolarization/conduction cycles,Dropped beats,remaining_5256,463d94e08d2bef4f494b721f5f5a343eaa3a45cb9e3356aa639acc9e3a6f7435,21,7,3,0,4,3,0.171088169046401,0.20000454901995168,0.028916379973550677,0.028916379973550677,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,1e38af9bb13f9f61bc891cfe0769213d6723b363a3fd5b4f461a2ba7235cb46e,0.3394893444518186,0.2716714566485593,0.6484375,True,3,8
SB2813,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by influenza",Influenza,remaining_5256,8e9fcdea28477c1e43159d326873b3cb9f62ea913f0ed053fa2cdf17669dce18,15,9,2,0,7,2,0.1797973302726541,0.1988502468010518,0.01905291652839769,0.01905291652839769,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,7b8ed0d1179274718c08407557c3a0bd42be9a28aa9cb4d25db5ead5443af268,0.33894688406949003,0.2675800415481586,0.6640625,True,2,9
SB5669,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by wandering pacemaker",Wandering pacemaker,remaining_5256,9683fe827f3f6a33e84cd29b582d6753e8256d85e92ec66fba19655c53539a6d,21,6,1,0,5,1,0.1443877642881869,0.16616999327159254,0.02178222898340565,0.02178222898340565,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,1ac55adc6206299bdbbf9e7070c5342502ddf9c0eaef0f141eee4a9f39cfc79a,0.3388761739087301,0.27092368769357333,0.6484375,True,1,10
SB3243,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by malaria",Malaria,remaining_5256,5aca3d5cf4f87e75e6eea7f4bfa4c1a2f396ce103e6413fc1febd9ebf3223f17,15,9,2,0,7,2,0.18696597812627624,0.2048333741522862,0.017867396026009952,0.017867396026009952,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,5786d6720fabe26a513d6b4fabea901ccffc223891ba04872fc2a58befefc995,0.33879737019810474,0.2673977075586643,0.6640625,True,2,11
SB2517,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by herpes",Herpes NOS,remaining_5256,ac504f77d244b12ccf0f2e5cc2a0fe7fb89cdae57a4925d5fb741de5fa70c667,15,9,2,0,7,2,0.19038885964529595,0.2090390084254642,0.01865014878016824,0.01865014878016824,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,a8ad576427f6f06dd82e5533c6b4ea7d6b42e45caf1d1af948a6311e660dec4d,0.3385960126019768,0.26715214951460586,0.6640625,True,2,12
SB1702,cochlear-mechanical and auditory-neural transduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by ear feels clogged",Ear feels clogged,remaining_5256,8b8b7371170a9e4b2c5c42675f0f54fd8075e39b00fff2fe855668b836c4a9db,276,78,12,11,77,23,0.14523810278802107,0.166049495862435,0.02081139307441393,0.02081139307441393,AWAY_FROM_REFERENCE,0.03985507246376811,MINOR,1,230,391f243eebb18e478e4dd16f688973e6ecf538f4c07649eb227eaa28f1481589,0.33818103658871634,0.26321620315697114,0.6796875,True,1,13
SB1426,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Deafness,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,b4af00e9c817331b41ae66aba5a79d3d7c8ed49891b4cebf85cb82af3a6a0d03,0.338046496028119,0.2647670683269744,0.671875,True,-8,14
SB1427,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Deafness bilateral,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,c23df65b915c8d505598327b463a39e793e0b3e7f4038a17597e6a528cda3779,0.338046496028119,0.2647670683269744,0.671875,True,-8,15
SB1428,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Deafness neurosensory,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,cefc0a7c95b8bbd4ecd149f3521ad5accbeb466df52b9ebd68d73a8af99e7b4a,0.338046496028119,0.2647670683269744,0.671875,True,-8,16
SB1429,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Deafness permanent,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,e02ea78a5abf5c6e07b0a75d921e446d8f87c648eb08e15837e7bd460f1e8bde,0.338046496028119,0.2647670683269744,0.671875,True,-8,17
SB1430,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Deafness transitory,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,1b00a1a5f8841c790be8512ff44f25b8cacdb5e52aed0defd3c62c6eb3070136,0.338046496028119,0.2647670683269744,0.671875,True,-8,18
SB1431,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Deafness unilateral,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,b3f1204e41bf12c9de8730455083932a984097eec01f023e9b4488643bdf498a,0.338046496028119,0.2647670683269744,0.671875,True,-8,19
SB4007,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Partial permanent deafness,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,e59c1158a37ea7b4c13b8e76d651dea907bd780780d4227e9626d6eb83b70b72,0.338046496028119,0.2647670683269744,0.671875,True,-8,20
SB4009,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,Partial transitory deafness,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.19107890619473178,0.024974984229875874,0.024974984229875874,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,e473501604a70f5193127141188b0cb9cf73aee8951f92067989651b7f5f21bd,0.338046496028119,0.2647670683269744,0.671875,True,-8,21
